Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Cordinate,Lat,Long,Maps,Image
11,Upside Down World Bali,"Di Upside Down World Bali, Anda dapat mengambil gambar paling menarik dalam suasana yang biasa saja. Pertama kali didirikan pada tahun 2016, Upside Down World adalah studio foto dengan 8 ruangan yang berbeda, masing-masing dengan konsep dan desain interior yang unik. Anda mungkin bertanya-tanya, apa yang membuatnya begitu istimewa? Sesuai dengan namanya, Upside Down World memiliki kamar yang semuanya terbalik!",Hobi,Denpasar,100000,4.3,,"{'lat': -8.716711, 'lng': 115.2052612}",-8.716711,115.2052612,"https://www.google.com/maps/place/Upside+Down+World+Bali/@-8.716711,115.2052612,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2414421ee552f:0xb23009c36c511835!8m2!3d-8.716711!4d115.2052612?authuser=0&hl=en",https://live.staticflickr.com/8276/28759303924_ff50e0ea64_4k.jpg
12,Taman Sukasada,"Taman Sukasada, adalah sebuat taman di banjar Ujung, desa Tumbu, kecamatan Karangasem, Karangasem, Bali. Taman ini terletak sekitar 5 km di sebelah tenggara kota Amlapura. Pada masa Hindia Belanda tempat ini dikenal dengan nama Waterpaleis atau ""istana air"".",Alam,Karangasem,10000,4.6,,"{'lat': -8.4647081, 'lng': 115.6301561}",-8.4647081,115.6301561,"https://www.google.com/maps/place/Taman+Soekasada+Ujung/@-8.4647081,115.6301561,17z/data=!4m6!3m5!1s0x2dd20876c074126d:0xce57da4e1329d347!8m2!3d-8.4647081!4d115.6301561!16s%2Fg%2F1hf1l6_dx?authuser=0&hl=en",https://live.staticflickr.com/4435/36790963661_0d805299cf_b.jpg
13,Water Blow Nusa Dua,Water Blow Peninsula Nusa Dua adalah objek wisata yang memiliki karakteristik dan keunikan fenomena alam yaitu deburan ombak yang menjulang tinggi mencapai 8 meter akibat terempas di karang-karang.,Alam,Badung,15000,4.4,,"{'lat': -8.8038567, 'lng': 115.2398639}",-8.8038567,115.2398639,"https://www.google.com/maps/place/Waterblow/@-8.8038567,115.2398639,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd242d64fdf1499:0x693ff9065fcd1f44!8m2!3d-8.8038567!4d115.2398639!16s%2Fg%2F11b66sm7gm?authuser=0&hl=en",https://live.staticflickr.com/8370/8438224712_1d57af25b6_k.jpg
14,Pura Luhur Uluwatu,"Pura (Luhur) Uluwatu adalah sebuah pura laut Hindu Bali ( Pura Segara ) yang terletak di Uluwatu ( Kuta Selatan , Badung ). Pura ini dianggap sebagai salah satu kahyangan yang menyedihkan dan dipersembahkan kepada Sang Hyang Widhi Wasa dalam manifestasinya sebagai Rudra",Budaya,Badung,50000,4.6,,"{'lat': -8.829354, 'lng': 115.0840778}",-8.829354,115.0840778,"https://www.google.com/maps/place/Uluwatu+Temple/@-8.829354,115.0840778,18z/data=!3m1!4b1!4m5!3m4!1s0x2dd24ffc20cb8191:0xcb98d1ba7db0495!8m2!3d-8.8291432!4d115.0849069?authuser=0&hl=en",https://live.staticflickr.com/8635/30054967702_4b2d8df047_5k.jpg
15,Taman Anyar,"Taman Anyar adalah taman untuk memperlajari kehidupan sehari-hari orang Bali yang biasa, Anda akan belajar bagaimana menjadi orang Bali. mulai dari proses bertani, belajar tentang rumah dan pura Bali, membuat persembahan, kelas memasak, membuat minyak kelapa dan menikmati makan siang dengan pertunjukan tari. cara terbaik untuk menghindari tempat wisata dan mulai dengan tradisi.",Edukasi,Badung,650000,4.6,,"{'lat': -8.5477665, 'lng': 115.2030592}",-8.5477665,115.2030592,"https://www.google.com/maps/place/Taman+Anyar+-+Traditional+Balinese+House/@-8.5477665,115.2030592,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23c6d059df3ed:0xcf94cc299e7aa353!8m2!3d-8.5477665!4d115.2030592!16s%2Fg%2F11dxdmyf9x?authuser=0&hl=en",https://live.staticflickr.com/1059/1325030295_f7be469965_c.jpg
16,Taman Budaya Garuda Wisnu Kencana,"Taman Budaya Garuda Wisnu Kencana atau kerap disebut dengan GWK, adalah sebuah taman wisata budaya di bagian selatan pulau Bali. Taman wisata ini terletak di Desa Ungasan, Kecamatan Kuta Selatan, Kabupaten Badung, kira-kira 40 kilometer di sebelah selatan Denpasar, ibu kota provinsi Bali.Di sini berdiri megah sebuah landmark atau maskot Bali, yakni patung Garuda Wisnu Kencana yang menggambarkan sosok Dewa Wisnu menunggangi tunggangannya, Garuda, setinggi 121 meter.",Budaya,Badung,95000,4.5,,"{'lat': -8.8104175, 'lng': 115.1654099}",-8.8104175,115.1654099,"https://www.google.com/maps/place/Garuda+Wisnu+Kencana+Cultural+Park/@-8.8104175,115.1654099,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd244cf54e1dec7:0x1988663e064f5a51!8m2!3d-8.8104228!4d115.1675986?authuser=0&hl=en",https://images.unsplash.com/photo-1641258310476-f83cfe76c3b3?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=871&q=80
17,Hidden Canyon Beji Guwang,Satu lagi obyek wisata alam eksotik di Bali yang masih jarang diketahui wisatawan yaitu ngarai yang berada di wilayah Desa Guwang Kecamatan Sukawati Kabupaten Gianyar. Sebuah ngarai tersembunyi yang disebut Hidden Canyon Beji Guwang Sukawati oleh wisatawan asing. Ngarai (Canyon = Bahasa Inggris) merupakan lembah yang dalam dan sempit dengan lereng bebatuan yang dibentuk akibat erosi aliran air sungai sehingga memberikan kesan artistik pada setiap dinding tebing - tebing sepanjang aliran sungai Beji Guwang.,Alam,Gianyar,10000,4.5,,"{'lat': -8.60991, 'lng': 115.2872399}",-8.60991,115.2872399,"https://www.google.com/maps/place/Hidden+Canyon+Beji+Guwang/@-8.60991,115.2872399,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2157e9462182d:0x6e3602576c543e7b!8m2!3d-8.6099153!4d115.2894286?authuser=0&hl=en",https://live.staticflickr.com/8816/28836722516_7fe0769f54_k.jpg
18,Banyumala Twin Waterfalls,Air Terjun Banyumala adalah air terjun yang indah dan memiliki 3 formasi jatuhan air. Yang terbesar berada di tengah. Yang lebih kecil berada di sebelah kiri dan kanannya. Sebuah kolam alami berada di bawahnya.,Alam,Buleleng,10000,4.8,,"{'lat': -8.217182, 'lng': 115.0994924}",-8.217182,115.0994924,"https://www.google.com/maps/place/Banyumala+Twin+Waterfalls/@-8.217182,115.0994924,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd18f9d7a04e875:0x4eccd9e08e4d2397!8m2!3d-8.2171873!4d115.1016811?authuser=0&hl=en",https://live.staticflickr.com/4426/36439338474_a98d6c0ffc_k.jpg
19,Waterbom Bali,"Wisata air ini cocok untuk kamu dan keluarga maupun teman-teman bermain saat musim kemarau. Memiliki luas 3,8 hektar, wahana di Waterbom Bali sangat menarik dan beragam, mulai dari yang jenisnya santai hingga yang memacu adrenalin, seperti Funtastic, Lazy River, Constrictor, Python, Twin Racers, Smash Down 2.0, Fast n Fierce, Double Twist, Green Vipers, Pipeline, Climax, dan Boomerang.",Hobi,Badung,340000,4.7,,"{'lat': -8.7285692, 'lng': 115.1671856}",-8.7285692,115.1671856,"https://www.google.com/maps/place/Waterbom+Bali/@-8.7285692,115.1671856,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd246a3ee8f82df:0x1291d693f3407fa5!8m2!3d-8.7285759!4d115.1693786?authuser=0&hl=en",https://live.staticflickr.com/2090/3542177004_d517a55de7_k.jpg
20,Bali Handara Gate,"Bali Handara Gate, mungkin sudah tidak asing lagi bagi banyak orang, sebuah gapura yang terdapat di kawasan Handara Golf & Resort Bali. Gapura tersebut terletak di pinggir jalan raya utama yang menghubungkan kawasan wisata Bedugul dengan Singaraja Buleleng. Sehingga tidak heran tempat tersebut bagi warga lokal tidak akan asing lagi, ataupun bagi mereka supir wisata yang melayani rangkaian tour dari arah Bali Selatan menuju kawasan Bali Utara sudah familiar dengan tempat ini. Berbeda halnya bagi wisatawan yang baru pertama kali ke sini, keindahan yang ditawarkan oleh Bali Handara Gate tersebut, menjadi daya tarik tersendiri, karena gapura tersebut terlihat begitu cantik dan spesial diantara alam hijau dan taman-taman indah dan latar belakang pegunungan di kawasan ini, gapura ini bahkan disebut sebagai gerbang kahyangan.",Budaya,Buleleng,20000,4.3,,"{'lat': -8.2531088, 'lng': 115.1560952}",-8.2531088,115.1560952,"https://www.google.com/maps/place/Bali+Handara+Gate/@-8.2531088,115.1560952,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd1891554a93a6f:0x39092eb84bc49cd3!8m2!3d-8.2531141!4d115.1582839?authuser=0&hl=en",https://images.unsplash.com/photo-1653189381089-c967d5b7c140?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=467&q=80
21,Air Terjun Tukad Cepung,"Air Terjun Tukad Cepung adalah salah satu air terjun paling unik dan fotogenik di Bali. Terkenal dengan sinar matahari yang menyinari langsung puncak air terjun, menciptakan sinar alami melintasi formasi batuan seperti ngarai.",Alam,Bangli,15000,4.7,,"{'lat': -8.3639292, 'lng': 114.6929256}",-8.3639292,114.6929256,"https://www.google.com/maps/place/Tukad+Cepung+Waterfall/@-8.3639292,114.6929256,9z/data=!4m9!1m2!2m1!1sAir+Terjun+Tukad+Cepung!3m5!1s0x2dd21ba0481caa43:0xbd3a446ae88503f!8m2!3d-8.4410173!4d115.3868079!15sChdBaXIgVGVyanVuIFR1a2FkIENlcHVuZ0jphfqY0raAgAhaGSIXYWlyIHRlcmp1biB0dWthZCBjZXB1bmdiCQkrRudrOROLSZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTGQwNWZVV2huUlJBQg?authuser=0&hl=en",https://images.unsplash.com/photo-1564462369725-93845d6b5c8e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=387&q=80
22,Pura Tirta Empul,"Pura Tirta Empul adalah pura Hindu di tengah pulau Bali, Indonesia, tepatnya di Desa Manukaya, Kecamatan Tampaksiring, Kabupaten Gianyar,[1] yang terkenal dengan air sucinya di mana orang Hindu Bali mencari penyucian.",Budaya,Gianyar,30000,4.6,,"{'lat': -8.4157038, 'lng': 115.3153042}",-8.4157038,115.3153042,"https://www.google.com/maps/place/Pura+Tirta+Empul/@-8.4157038,115.3153042,17z/data=!4m5!3m4!1s0x2dd218f4e06131b5:0x53a25a017714ecc1!8m2!3d-8.4157586!4d115.3151588?authuser=0&hl=en",https://images.unsplash.com/photo-1565970141927-d4591950032e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870&q=80
23,Karang Boma Cliff,Karang Boma Cliff adalah merupakan objek wisata tebing pantai di pecatu kuta bali yang menjorok ke laut dan memiliki sisi historis. Puncak Tebing Karang Boma ini sendiri letaknya berada di atas ketinggian sekitar 97 meter di atas permukaan air laut di bawahnya. Dan inilah yang menjadi daya tarik utama dari puncak karang boma ini yakni menikmati sensasi pesona keindahan alam yang terhampar di bawahnya,Alam,Badung,10000,4.7,,"{'lat': -8.8345313, 'lng': 115.0855364}",-8.8345313,115.0855364,"https://www.google.com/maps/place/Karang+Boma+Cliff/@-8.8345313,115.0855364,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2500bfc06ef09:0xb5e356ec177894d0!8m2!3d-8.8345366!4d115.0877251?authuser=0&hl=en",https://images.unsplash.com/photo-1577246685687-b23fce3cd3a3?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=464&q=80
24,Penangkaran Penyu Bali Tanjung Benoa,"Pulau penyu Bali adalah tempat penangkaran penyu hijau yang lokasinya berada di obyek wisata Tanjung Benoa Bali. Pengelolaan penangkaran penyu hijau, di lakukan secara swadaya oleh masyarakat Tanjung Benoa, yang sebelumnya sebagian besar bekerja sebagai nelayan. Yang akan dapat anda lihat saat wisata ke penangkaran penyu hijau di Tanjung Benoa seperti, penyu hijau, ular piton, burung dan masih ada banyak lagi hewan lainnya.",Edukasi,Badung,10000,4.1,,"{'lat': -8.7617034, 'lng': 115.2161812}",-8.7617034,115.2161812,"https://www.google.com/maps/place/Penangkaran+Penyu+Bali+Tanjung+Benoa/@-8.7617034,115.2161812,17z/data=!4m6!3m5!1s0x2dd243a32e668d47:0x3d52bd86b73ff3de!8m2!3d-8.7617034!4d115.2161812!16s%2Fg%2F11b8ymr4hv?authuser=0&hl=en",https://images.unsplash.com/photo-1653790857496-4702665ff2cf?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1832&q=80
25,Bali Cultural Centre,"Bali Culture Center  adalah Bali mini dengan sajian budaya Bali lengkap dengan keunikan budaya yang ada di Pulau Bali. Budaya Bali sangat unik dan kompleks yang berkaitan dengan kehidupan sosial, keluarga serta agama. Selanjutnya, Anda akan menemukan berbagai kegiatan budaya dengan staf yang ramah yang memandu dan menyajikannya kepada Anda. Di set dalam ketenangan pedesaan Nyuh Kuning,  Ubud Bali  dan kelapa tiga mengelilinginya. Ragam budaya klasik yang berkaitan dengan Hindu Bali dihadirkan untuk semua pengunjung dalam arsitektur bangunan Bali yang indah. Selain itu, Anda dapat mengunjungi situs ini selama  Tur Ubud kami  atau dengan sengaja mempelajari Program Pelajaran Budaya Bali.",Budaya,Gianyar,50000,4.3,,"{'lat': -8.528406, 'lng': 115.2405273}",-8.528406,115.2405273,"https://www.google.com/maps/place/Bali+Cultural+Centre/@-8.528406,115.2405273,14z/data=!4m9!1m2!2m1!1sbali+culture+center!3m5!1s0x2dd23da04f19c489:0xae4a34a394d89c9!8m2!3d-8.5276055!4d115.2580594!15sChNiYWxpIGN1bHR1cmUgY2VudGVyWhUiE2JhbGkgY3VsdHVyZSBjZW50ZXKSARJ0b3VyaXN0X2F0dHJhY3Rpb24?authuser=0&hl=en",https://live.staticflickr.com/4318/35353470413_62f48911c9_k.jpg
26,Sangeh Monkey Forest,"Obyek Wisata Alam Sangeh tidak hanya terkenal karena keberadaan Keranya yang jinak, namun karena adanya 10 ha. Homogen hutan Pala (Dipterocarpus trinervis), bijinya tidak bisa dimakan dan juga adanya Pura Bukit Sari yang merupakan Pura peninggalan Abad Ke- 17 pada waktu kejayaan kerajaan Mengwi.",Alam,Badung,60000,4.5,,"{'lat': -8.481769, 'lng': 115.2045504}",-8.481769,115.2045504,"https://www.google.com/maps/place/Sangeh+Monkey+Forest/@-8.481769,115.2045504,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd223492c21e6a3:0xb715386c995db0c2!8m2!3d-8.4817743!4d115.2067391?authuser=0&hl=en",https://images.unsplash.com/photo-1616207963720-3d78ac5c0682?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870&q=80
27,Pantai Legian,"Daya tarik utama pantai Legian terletak pada, pesisir pantai sangat landai dan memiliki bentangan pasir pantai yang sangat panjang. Terbentang dari sisi utara pantai Kuta, sampai sisi selatan pantai Double Six Seminyak. Ombak di pantai Legian banyak di minati oleh peselancar, oleh karena itu lomba selancar sering di adakan di pantai ini. Karena ombak di Legian beach sangat cocok untuk aktivitas selancar, membuat pantai Legian sangat diminati oleh wisatawan asing yang berlibur di Bali, terutama wisatawan Australia. Jika anda mahir dalam berselancar, anda dapat menyewa papan selancar yang banyak tersedia di pinggir pantai.",Alam,Badung,0,4.5,,"{'lat': -8.7033427, 'lng': 115.1553918}",-8.7033427,115.1553918,"https://www.google.com/maps/place/Legian+Beach/@-8.7033427,115.1553918,15z/data=!3m1!4b1!4m5!3m4!1s0x2dd246e7987b2117:0xeca4ea2fc43d3caf!8m2!3d-8.7039476!4d115.1647362?authuser=0&hl=en",https://live.staticflickr.com/7110/7569335084_bed6eecddf_k.jpg
28,Alas Harum Agrotourism,"Alas Harum merupakan salah satu objek agrowisata populer yang terletak di Jl. Lunga Tegallalang, sekitar 20 menit dari Pusat Ubud. Tempat ini akan menawarkan Anda banyak kegiatan seperti langkah-langkah membuat kopi luwak, ayunan, zip line dan banyak tempat untuk berfoto dengan pemandangan indah yang sempurna seperti pemandangan teras pribadi, lantai kaca, sarang burung, jembatan menari, yang besar lekukan wajah gorila dan pekak brayut. Selain itu, Alas Harum juga memiliki patung luwak terbesar di Indonesia.",Alam,Gianyar,50000,4.5,,"{'lat': -8.4398847, 'lng': 115.2784188}",-8.4398847,115.2784188,"https://www.google.com/maps/place/Alas+Harum+Bali/@-8.4398847,115.2784188,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2227ee0628013:0xf443506a00fa75f3!8m2!3d-8.43989!4d115.2806075?authuser=0&hl=en",https://live.staticflickr.com/65535/49726849077_da274f4edf_k.jpg
29,Wake Bali Adventure,"ATV Ride Wake Bali Adventure merupakan ATV pertama di Bali yang melalui trek persawahan, tebing, sungai , dan pantai berpasir hitam yang begitu indah. Panjang trek ini kurang 6,5 km dan memerlukan waktu tempuh sekitar 2,5 jam. Tapi jangan khawatir karena selama perjalanan, anda akan ditemani oleh pemandu yang sudah profesional.",Hobi,Gianyar,950000,4,,"{'lat': -8.5713927, 'lng': 115.3197533}",-8.5713927,115.3197533,"https://www.google.com/maps/place/Wake+Bali+Adventure/@-8.5713927,115.3197533,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd215d02c2c2f19:0x3d5aed6d4903c3d0!8m2!3d-8.571398!4d115.321942?authuser=0&hl=en",https://live.staticflickr.com/4492/23859545558_967722499f_c.jpg
